,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
262,"USD $638,060","Mahadevapura, Bangalore, Karnataka",4,4,"3,945.00 sq ft",Apartment
263,"USD $118,982","Devanahalli, Bangalore, Karnataka",3,3,"1,507.00 sq ft",Apartment
264,"USD $117,481","Devanahalli, Bangalore, Karnataka",3,3,"1,488.00 sq ft",Apartment
265,"USD $112,822","Miyapur, Hyderabad, Andhra Pradesh",3,3,"1,495.00 sq ft",Apartment
266,,"Hinjewadi, Pune, Maharashtra",,,,Unit
267,"USD $114,756","Mogappair, Chennai, Tamil Nadu",3,3,"1,377.00 sq ft",Apartment
268,"USD $170,009","Mogappair, Chennai, Tamil Nadu",4,4,"2,040.00 sq ft",Apartment
269,"USD $632,464","Sector 36A, Gurgaon, Haryana",3,3,"2,538.00 sq ft",Apartment
270,"USD $416,268","Hebbal, Bangalore, Karnataka",4,4,"2,500.00 sq ft",Apartment
271,,"Hebbal, Bangalore, Karnataka",,,,Unit
272,"USD $92,911","Madhyamgram, Kolkata, West Bengal",3,3,"1,449.00 sq ft",Apartment
273,"USD $78,099","Madhyamgram, Kolkata, West Bengal",3,3,"1,218.00 sq ft",Apartment
274,"USD $86,370","Madhyamgram, Kolkata, West Bengal",3,3,"1,347.00 sq ft",Apartment
275,"USD $79,253","Madhyamgram, Kolkata, West Bengal",3,3,"1,236.00 sq ft",Apartment
276,"USD $129,535","Cossipore, Kolkata, West Bengal",3,3,"1,370.00 sq ft",Apartment
277,"USD $176,811","Cossipore, Kolkata, West Bengal",4,4,"1,870.00 sq ft",Apartment
278,"USD $189,576","Cossipore, Kolkata, West Bengal",4,4,"2,005.00 sq ft",Apartment
279,"USD $148,446","Cossipore, Kolkata, West Bengal",3,3,"1,570.00 sq ft",Apartment
280,"USD $121,026","Cossipore, Kolkata, West Bengal",3,2,"1,280.00 sq ft",Apartment
281,"USD $149,391","Cossipore, Kolkata, West Bengal",3,3,"1,580.00 sq ft",Apartment
282,"USD $151,282","Cossipore, Kolkata, West Bengal",3,3,"1,600.00 sq ft",Apartment
283,"USD $131,794","Cossipore, Kolkata, West Bengal",3,3,"1,300.00 sq ft",Apartment
284,"USD $152,228","Cossipore, Kolkata, West Bengal",3,3,"1,610.00 sq ft",Apartment
285,"USD $117,244","Cossipore, Kolkata, West Bengal",3,3,"1,240.00 sq ft",Apartment
286,"USD $379,787","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"2,470.00 sq ft",Apartment
287,"USD $407,343","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"2,615.00 sq ft",Apartment
288,"USD $96,696","Bachupally, Hyderabad, Andhra Pradesh",2,2,"1,110.00 sq ft",Apartment
289,"USD $77,861","Perungalathur, Chennai, Tamil Nadu",2,2,824.00 sq ft,Apartment
290,"USD $88,102","Madhyamgram, Kolkata, West Bengal",3,3,"1,374.00 sq ft",Apartment
291,"USD $97,976","Madhyamgram, Kolkata, West Bengal",4,4,"1,528.00 sq ft",Apartment
292,"USD $57,520","Madhyamgram, Kolkata, West Bengal",2,2,897.00 sq ft,Apartment
293,"USD $70,340","Madhyamgram, Kolkata, West Bengal",3,3,"1,097.00 sq ft",Apartment
294,"USD $81,561","Madhyamgram, Kolkata, West Bengal",3,3,"1,272.00 sq ft",Apartment
